"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000087116",364.228169128942,2.09381311842982,0.356270940268965,5.87702470723295,4.17705884131141e-09,8.53444436918676e-07,"ADAMTS2"
"ENSG00000137204",176.528262372839,-6.84101249060276,1.1719538587377,-5.83727118571985,5.30626920582568e-09,1.0626962318683e-06,"SLC22A7"
"ENSG00000215193",1113.02004510225,-1.30827496724379,0.224166287057526,-5.83618074071976,5.3410956506744e-09,1.0626962318683e-06,"PEX26"
"ENSG00000175592",56.2698124244788,3.10986580346228,0.532976190111356,5.83490568839957,5.38210014310015e-09,1.0626962318683e-06,"FOSL1"
"ENSG00000120254",211.344675362487,1.857743135363,0.31843592864585,5.83396208858423,5.41264246067175e-09,1.0626962318683e-06,"MTHFD1L"
"ENSG00000179546",25.6071116985387,3.63155329110249,0.62327967396686,5.82652289619761,5.65941057598106e-09,1.09405113219215e-06,"HTR1D"
"ENSG00000039537",579.778052028384,-4.19534754167816,0.720590052727194,-5.82210027157627,5.81126645823503e-09,1.1148315829153e-06,"C6"
"ENSG00000145244",6.70642486558984,2.74797665061911,0.472398323800193,5.81707536240412,5.98861469904124e-09,1.1393966306584e-06,"CORIN"
"ENSG00000104415",80.0283645732962,2.38815447564558,0.410711894424758,5.81467083876503,6.07533120481579e-09,1.1393966306584e-06,"CCN4"
"ENSG00000157227",2437.83290606982,1.36697209586506,0.235325327271703,5.80886091485926,6.28993140290786e-09,1.15363488114068e-06,"MMP14"
"ENSG00000114251",118.598973118629,1.46480386194015,0.252307945928118,5.80561922674236,6.41285517332768e-09,1.15363488114068e-06,"WNT5A"
"ENSG00000179431",28.0697934175323,2.31137667751271,0.398142431712114,5.80540151817831,6.42119382250197e-09,1.15363488114068e-06,"FJX1"
"ENSG00000113889",1360.59907966577,-4.2487530466607,0.731910573537491,-5.80501662399207,6.43596180781493e-09,1.15363488114068e-06,"KNG1"
